,Unnamed: 0,Country,Yellows,Reds,Safety,Virtual Safety,Rain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0.0,6,0.0,0.25,0.25,1.0,0.1,-0.05,-0.05,0.2,0.25,-0.1,0.0,0.35,0.1,-0.05,0.05,0.1,0.25,-0.05,0.05,-0.5,-0.6,0.1,-0.1,-0.05
1,1,0.03571428571428571,9,0.0,0.0,0.25,0.0,0.0,0.05,0.3,0.05,0.05,0.05,0.3,0.3,0.4,-0.1,-0.05,0.35,0.15,0.3,0.15,-0.2,-0.3,-0.8,-0.2,-0.8
2,2,0.07142857142857142,3,0.0,0.25,0.0,1.0,0.25,0.05,-0.05,0.0,0.0,0.05,0.3,-0.35,0.0,0.05,0.05,-0.2,0.05,0.2,0.05,0.2,-0.35,-0.05,0.0,-0.25
3,3,0.10714285714285714,10,0.0,0.5,0.0,0.0,0.05,0.2,0.25,-0.15,0.2,0.35,0.25,0.1,0.35,0.45,0.35,0.25,0.1,-0.55,0.25,-0.55,-0.65,-0.2,-0.6,-0.45
4,4,0.14285714285714285,3,0.0,0.25,0.25,1.0,0.0,0.0,0.1,-0.05,0.05,0.05,0.1,0.0,0.3,0.2,0.35,0.4,0.2,0.25,-0.2,-0.15,-0.65,-0.4,-0.35,-0.2
5,5,0.17857142857142858,4,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.55,-0.1,0.25,-0.15,0.3,-0.1,0.15,-0.15,0.0,-0.2,-0.2,-0.65
6,6,0.21428571428571427,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.1,-0.05,-0.05,0.0,0.05,-0.05,0.15,0.25,0.4,-0.1,-0.2,0.2,-0.05,0.05,-0.2,-0.35,-0.15
7,7,0.25,5,0.0,0.25,0.25,1.0,0.0,0.1,0.15,0.05,-0.1,0.15,-0.25,-0.05,0.15,-0.1,-0.05,0.25,0.1,0.3,0.15,0.0,0.1,-0.25,-0.4,-0.3
8,8,0.2857142857142857,11,0.0,0.0,0.25,0.0,0.15,0.05,0.15,0.05,0.15,0.25,0.45,0.25,0.45,0.5,0.05,-0.15,0.2,0.0,0.0,-0.7,0.1,-0.55,-0.9,-0.5
9,9,0.32142857142857145,10,0.0,0.5,0.0,0.0,0.05,-0.05,0.0,0.0,0.05,0.25,0.15,0.25,-0.1,0.1,0.3,0.35,0.05,0.2,-0.5,-0.4,-0.05,-0.15,-0.5,-1.0
10,10,0.35714285714285715,6,0.0,0.25,0.0,1.0,0.65,0.0,0.0,0.0,0.1,0.0,0.15,0.35,0.2,0.35,-0.3,-0.2,0.3,0.1,-0.3,-0.25,0.05,-0.85,-0.35,0.0
11,11,0.39285714285714285,2,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.4,-0.15,0.0,0.1,0.15,-0.2,0.0,-0.15,0.05,0.25,0.25,-0.05,0.2,-0.1,-0.1,-0.6,-0.15
12,12,0.42857142857142855,3,0.0,0.25,0.0,0.0,0.05,-0.05,0.2,0.75,-0.05,-0.15,-0.1,0.05,0.05,0.15,0.15,0.2,0.2,-0.15,0.15,-0.4,-0.55,-0.3,-0.2,0.0
13,13,0.4642857142857143,2,0.0,0.25,0.25,1.0,0.1,-0.05,0.05,-0.1,0.0,0.1,0.35,-0.05,0.05,0.1,0.2,0.25,0.35,-0.25,0.15,-0.25,0.1,-0.25,-0.15,-0.7
14,14,0.5,1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.15,0.3,0.1,0.3,-0.35,-0.45,0.0,-0.1,0.0,-0.55
15,15,0.5357142857142857,4,0.0,0.0,0.0,1.0,0.05,-0.05,0.0,0.0,0.7,0.6,0.0,-0.15,-0.15,-0.1,-0.1,0.0,-0.15,0.1,-0.05,-0.05,-0.3,-0.25,-0.1,0.0
16,16,0.5714285714285714,3,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.55,-0.05,0.1,0.1,-0.15,0.1,0.15,-0.2,0.4,-0.35,0.2,0.2,0.05,-0.15,-0.4,-0.15,-0.4
17,17,0.6071428571428571,6,0.0,0.0,0.25,0.0,0.05,0.8,-0.1,0.05,-0.1,0.05,0.2,0.1,0.55,0.3,0.3,0.35,0.05,0.05,-0.3,-0.6,-0.45,-0.25,-0.65,-0.4
18,18,0.6428571428571429,4,0.0,0.0,0.75,0.0,0.05,0.1,0.15,-0.05,0.0,0.05,0.1,0.35,0.05,0.5,0.0,0.25,0.3,0.0,0.05,0.1,-0.8,-0.25,-0.55,-0.4
19,19,0.6785714285714286,3,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.35,-0.1,-0.2,0.0,0.0,0.05,0.1,0.25,0.15,-0.2,0.3,0.15,-0.1,0.0,0.05,-0.3,-0.7
20,20,0.7142857142857143,5,0.0,0.25,0.25,1.0,0.0,0.05,0.15,0.05,-0.15,0.25,0.05,0.3,-0.1,0.15,0.2,0.2,0.35,0.2,0.2,0.05,-0.4,-0.3,-0.75,-0.5
21,0,0.0,2,0.0,0.0,0.0,0.0,0.05,-0.05,0.05,-0.05,0.0,0.05,0.2,0.05,0.35,0.25,0.3,-0.2,-0.15,-0.05,-0.05,0.15,0.15,-0.6,-0.35,-0.1
22,1,0.03571428571428571,13,0.0,0.25,0.0,0.0,0.1,0.1,-0.1,0.05,-0.15,0.15,0.05,0.25,0.15,0.2,0.25,0.15,-0.35,0.2,0.2,0.2,0.0,-0.4,-0.6,-0.45
23,2,0.07142857142857142,1,0.0,0.0,0.25,0.0,0.05,-0.05,0.0,0.05,-0.05,0.0,0.0,0.2,0.2,-0.5,-0.05,0.2,-0.2,0.0,0.2,0.05,0.05,-0.15,-0.4,-0.6
24,3,0.10714285714285714,8,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.15,-0.05,0.1,-0.05,0.2,-0.5,0.0,0.25,-0.05,0.05,0.05,-0.8,-0.85,-0.2,-0.65,-0.5
25,4,0.14285714285714285,3,0.0,0.25,0.0,0.0,0.05,-0.05,0.05,-0.05,0.0,0.0,0.05,0.2,0.0,-0.15,0.0,0.05,-0.65,0.0,0.0,0.1,0.1,-0.05,-0.15,-0.5
26,5,0.17857142857142858,14,0.0,0.25,0.0,1.0,0.0,0.1,-0.05,-0.05,0.15,0.15,0.0,0.1,-0.15,0.15,0.05,0.2,-0.1,-0.45,0.2,0.05,-0.15,0.1,-0.05,-0.25
27,6,0.21428571428571427,6,0.0,0.0,0.0,0.0,0.05,-0.05,0.0,0.1,0.2,-0.1,0.0,-0.15,0.4,0.0,0.0,0.15,-0.05,0.0,0.05,0.1,-0.85,0.05,-0.3,-0.6
28,7,0.25,5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.25,-0.2,-0.05,-0.15,0.1,0.2,0.25,-0.2,-0.3,-0.1,0.0,0.05,-0.2
29,8,0.2857142857142857,0,0.0,0.0,0.0,0.0,0.05,-0.05,0.0,0.25,-0.05,-0.05,0.05,0.55,-0.15,-0.15,0.1,0.0,0.1,0.0,0.15,-0.25,-0.05,-0.9,-0.45,-0.15
30,9,0.32142857142857145,3,0.0,0.25,0.0,0.0,0.05,-0.05,0.0,0.05,-0.05,0.35,0.0,0.2,0.4,0.0,-0.15,-0.15,0.25,0.25,0.25,-0.5,-0.1,-0.35,-0.25,-0.2
31,10,0.35714285714285715,8,0.0,1.0,0.5,1.0,0.05,0.9,0.55,0.55,0.1,0.5,-0.05,0.2,-0.4,0.4,0.3,-0.35,-0.1,-0.5,-0.6,-0.35,-0.35,0.05,-0.3,-0.6
32,11,0.39285714285714285,1,0.0,0.0,0.0,0.0,0.1,-0.05,0.1,0.0,0.15,0.0,0.15,-0.3,-0.1,0.1,0.25,-0.05,0.05,0.3,-0.1,-0.05,0.05,-0.05,0.0,-0.55
33,12,0.42857142857142855,5,0.0,0.25,0.0,0.0,0.0,0.05,0.05,-0.1,0.6,0.05,0.6,0.2,0.2,0.3,0.0,-0.2,-0.2,-0.2,-0.05,-0.5,-0.85,0.0,-0.2,-0.75
34,13,0.4642857142857143,5,0.0,0.0,0.5,0.0,0.0,0.05,-0.05,0.05,0.05,0.1,0.55,0.55,0.05,0.3,0.3,-0.15,-0.45,0.0,-0.75,-0.15,-0.1,-0.35,-0.35,-0.65
35,14,0.5,4,0.0,0.75,0.0,0.0,0.1,-0.05,0.05,-0.1,0.0,0.0,0.1,0.15,-0.05,0.0,0.3,-0.25,0.15,0.3,-0.05,0.15,-0.2,-0.3,-0.2,-0.1
36,15,0.5357142857142857,3,0.0,0.5,0.25,1.0,-0.1,0.05,-0.7,0.0,0.15,0.0,-0.15,0.0,-0.55,-0.45,-0.15,0.25,-0.1,0.25,0.2,0.15,0.05,0.1,0.7,0.4
37,16,0.5714285714285714,2,0.0,0.0,0.0,0.0,-0.05,-0.2,0.1,0.05,-0.75,0.1,0.1,-0.15,0.1,-0.15,-0.15,0.15,0.05,0.2,-0.25,-0.15,0.45,0.1,0.2,0.15
38,17,0.6428571428571429,2,0.0,0.0,0.25,0.0,0.1,0.0,0.15,-0.15,0.0,-0.1,0.2,0.25,0.05,0.1,-0.1,0.2,-0.3,0.05,0.1,0.15,0.05,0.1,-0.25,-0.6
39,18,0.6071428571428571,2,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05,0.15,0.05,-0.05,0.1,-0.5,0.3,0.05,0.05,0.1,0.0,-0.3,0.05,-0.3,0.0,-0.9
40,19,0.6785714285714286,3,0.0,0.5,0.0,0.0,0.0,0.2,0.85,0.2,0.35,0.25,-0.2,0.1,0.3,0.3,-0.1,0.3,-0.3,-0.45,-0.1,0.15,-0.75,-0.2,-0.1,-0.8
41,20,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-0.05,-0.05,0.15,-0.1,0.2,-0.1,-0.2,-0.15,0.2,0.0,0.0,0.0,0.05,-0.35,0.0,-0.4
42,0,0.2857142857142857,7,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.05,0.15,0.0,0.25,0.3,0.45,0.05,0.45,0.05,-0.45,0.25,0.1,-0.05,-0.05,-0.45,-0.45,-0.9
43,1,0.2857142857142857,1,0.0,0.25,0.0,1.0,0.0,0.1,-0.05,0.1,0.2,0.55,0.25,0.0,-0.3,0.15,0.25,0.15,-0.65,0.25,-0.4,-0.25,0.05,-0.65,-0.25,-0.5
44,2,0.39285714285714285,4,0.0,0.0,0.0,1.0,0.0,-0.05,-0.05,-0.15,0.15,-0.25,0.25,-0.25,0.0,-0.5,0.15,-0.3,0.4,0.0,-0.2,0.3,0.25,0.1,0.1,0.25
45,3,0.32142857142857145,3,0.0,0.5,0.0,0.0,0.0,0.05,0.05,0.2,0.0,0.15,0.2,0.2,-0.15,0.0,-0.45,0.4,-0.3,0.05,0.15,0.05,-0.05,0.05,-0.25,-0.35
46,4,0.32142857142857145,2,0.0,0.0,0.0,0.0,0.15,0.0,-0.1,0.2,0.2,0.0,-0.2,0.3,0.05,0.3,-0.2,-0.05,-0.05,-0.45,0.25,-0.15,0.1,-0.15,-0.05,-0.15
47,5,0.14285714285714285,1,0.0,0.0,0.0,0.0,0.0,0.05,-0.05,0.05,-0.05,0.05,0.2,-0.1,0.05,-0.1,0.1,0.0,0.1,0.0,0.05,0.2,0.05,0.05,-0.1,-0.55
48,6,0.42857142857142855,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.05,0.15,0.2,0.0,-0.1,0.0,0.2,0.05,-0.05,0.1,0.15,0.15,0.0,-0.2,-0.65
49,7,0.4642857142857143,3,0.25,0.5,0.0,0.0,0.45,0.05,0.25,0.1,-0.15,0.05,-0.3,0.2,0.1,-0.3,0.45,0.2,0.05,0.25,-0.3,0.1,-0.6,-0.25,-0.2,-0.15
50,8,0.4642857142857143,3,0.5,0.75,0.0,0.0,0.0,0.0,0.05,0.2,0.1,0.25,0.25,-0.15,0.2,0.2,0.35,0.15,-0.35,-0.2,0.2,0.2,0.0,-0.45,-0.8,-0.2
51,9,0.5357142857142857,2,0.0,0.25,0.25,0.0,0.1,0.0,-0.1,0.0,0.0,0.2,0.0,0.15,0.0,0.25,0.3,0.3,0.05,0.25,-0.35,0.2,-0.05,-0.25,-0.65,-0.4
52,10,0.35714285714285715,4,0.0,0.25,0.25,1.0,0.05,0.05,0.15,0.25,0.25,0.3,-0.15,0.6,0.35,0.2,0.0,0.35,0.1,0.2,-0.1,-0.4,-0.6,-0.55,-0.9,-0.15
53,11,0.7857142857142857,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,-0.1,0.15,0.05,0.25,0.25,-0.3,-0.25,0.0,0.1,0.15,0.05,0.1,-0.3,-0.4
54,12,0.4642857142857143,5,0.0,0.25,0.25,0.0,0.05,-0.05,0.1,0.2,0.1,0.25,0.15,0.05,0.45,0.5,0.4,0.1,0.1,0.1,-0.45,-0.15,-0.7,-0.05,-0.35,-0.8
55,13,0.8214285714285714,21,0.0,0.0,0.25,1.0,0.25,0.05,0.4,0.4,0.5,-0.2,-0.15,0.3,-0.4,-0.25,-0.2,0.2,0.3,-0.25,-0.35,-0.8,-0.2,-0.05,-0.95,-0.5
56,14,0.03571428571428571,4,0.25,0.5,0.0,0.0,0.0,0.05,0.05,0.25,0.5,0.1,-0.05,-0.3,-0.1,0.1,-0.05,0.1,-0.1,0.3,0.1,0.0,0.05,-0.65,-0.3,-0.05
57,15,0.03571428571428571,5,0.0,0.5,0.5,0.0,0.2,0.45,0.35,0.2,0.1,0.3,-0.05,-0.35,-0.35,0.45,-0.1,0.05,0.05,0.2,0.0,0.05,0.15,-0.1,-0.8,-0.8
58,16,0.75,1,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.05,-0.05,0.0,0.2,0.05,0.05,-0.1,-0.2,0.15,-0.05,-0.05,0.05,-0.1,0.05,0.1,-0.1,-0.05
59,0,0.03571428571428571,4,0.0,0.25,0.25,0.0,0.05,-0.05,0.0,0.15,-0.25,-0.1,-0.05,0.0,0.2,0.0,0.15,0.0,0.15,0.05,0.25,0.1,-0.6,-0.05,-0.5,-0.05
60,1,0.4642857142857143,9,0.25,0.5,0.0,1.0,0.1,-0.05,0.2,0.0,0.3,0.0,-0.1,0.1,0.0,0.25,-0.45,0.4,0.15,0.15,-0.75,0.1,0.1,-0.5,-0.35,-0.3
61,2,0.7857142857142857,0,0.0,0.25,0.0,0.0,0.05,0.05,-0.1,0.0,0.1,0.1,-0.05,0.25,0.35,-0.05,-0.3,0.0,-0.15,0.15,-0.05,-0.25,0.1,0.0,0.05,-0.25
62,3,0.14285714285714285,1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.05,-0.05,0.05,-0.2,0.1,0.0,0.25,0.0,0.05,-0.05,0.15,-0.35,0.0,0.05,-0.2
63,4,0.17857142857142858,0,0.0,0.0,0.0,0.0,0.05,0.1,0.1,0.25,0.15,0.0,0.0,0.25,0.1,0.0,0.15,0.0,0.2,0.05,0.15,0.0,0.1,0.1,-0.8,-0.95
64,5,0.10714285714285714,13,0.25,0.5,0.0,0.0,0.25,0.45,0.05,-0.15,0.2,0.1,0.0,-0.15,0.2,0.2,0.45,-0.1,0.2,0.2,-0.65,0.0,-0.1,-0.75,0.0,-0.4
65,6,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.05,0.15,0.2,-0.05,0.05,0.15,0.45,-0.3,0.1,-0.65,-0.15,-0.1,-0.45,0.0,-0.1,-0.2,-0.1
66,7,0.2857142857142857,1,0.0,0.0,0.0,0.0,0.0,-0.05,-0.15,0.0,0.15,-0.15,-0.25,-0.45,-0.1,-0.15,0.3,0.2,0.3,0.2,0.05,0.05,0.15,0.1,0.05,0.05
67,8,0.2857142857142857,1,0.0,0.25,0.0,1.0,0.0,0.15,-0.05,0.0,0.25,-0.15,0.3,0.2,-0.15,0.2,-0.15,-0.25,-0.2,0.05,0.05,0.1,-0.3,0.05,0.05,-0.15
68,9,0.32142857142857145,5,0.25,0.25,0.0,0.0,0.05,0.1,0.0,0.05,0.05,0.2,0.0,0.3,0.0,0.3,0.0,0.0,0.1,0.15,-0.1,-0.8,0.1,0.0,-0.55,-0.95
69,10,0.39285714285714285,3,0.25,0.25,0.0,1.0,0.35,-0.05,0.6,0.25,0.0,0.5,0.55,0.45,-0.3,0.15,0.0,0.4,-0.65,0.25,-0.45,-0.7,-0.65,-0.55,-0.35,-0.5
